price,bedroom,bathroom,area(sqft),country,city,address,propert_type,purpose,furnishing,completion_status,handover,project_name
7615888.0,3.0,3.0,3858.0, UAE, Dubai, Dubai Hills Estate,Apartment,Sale,Furnished,Off-Plan,Q3 2028,Parkwood
2700000.0,1.0,2.0,978.0, UAE, Dubai, Al Barari,Apartment,Sale,Furnished,Ready,Q3 2028,The Neighbourhood
822000.0,1.0,2.0,715.0, UAE, Dubai, Dubai Land Residence Complex,Apartment,Sale,Unfurnished,Off-Plan,Q4 2028,AG Ark Tower
854000.0,2.0,1.0,448.0, UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Unfurnished,Off-Plan,Q2 2026,Ozone1 Residence
12000000.0,5.0,6.0,10635.0, UAE, Dubai, Al Barsha,Villa,Sale,Unfurnished,Ready,Q2 2026,Al Barsha 3
1169000.0,1.0,2.0,800.0, UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Unfurnished,Off-Plan,Q3 2026,The F1fth
1499000.0,1.0,2.0,1070.0, UAE, Dubai, Jumeirah Village Triangle (JVT),Apartment,Sale,Furnished,Off-Plan,Q4 2026,Volga
2948888.0,3.0,4.0,2457.0, UAE, Dubai, The Valley by Emaar,Townhouse,Sale,Unfurnished,Off-Plan,Q3 2028,Velora 2
1610888.0,1.0,1.0,686.0, UAE, Dubai, Dubai Creek Harbour,Apartment,Sale,Unfurnished,Off-Plan,Q4 2026,Moor at Creek Beach
6360888.0,2.0,2.0,1459.0, UAE, Dubai, Dubai Harbour,Apartment,Sale,Unfurnished,Off-Plan,Q3 2029,The Bristol Emaar Beachfront
3789000.0,3.0,4.0,1980.0, UAE, Dubai, Dubailand,Apartment,Sale,Unfurnished,Off-Plan,Q3 2027,Ghaf Woods
2893888.0,3.0,3.0,1571.0, UAE, Dubai, Dubai South,Apartment,Sale,Unfurnished,Off-Plan,Q3 2029,Ghaf Woods
10380888.0,3.0,3.0,1912.0, UAE, Dubai, Dubai Harbour,Apartment,Sale,Unfurnished,Off-Plan,Q3 2029,The Bristol Emaar Beachfront
849000.0,1.0,2.0,738.0, UAE, Dubai, Dubai Land Residence Complex,Apartment,Sale,Unfurnished,Off-Plan,Q4 2028,AG Ark Tower
2890888.0,3.0,3.0,2417.0, UAE, Dubai, The Valley by Emaar,Townhouse,Sale,Unfurnished,Off-Plan,Q4 2028,Elva
3299000.0,3.0,4.0,2200.0, UAE, Dubai, Jumeirah Village Triangle (JVT),Apartment,Sale,Furnished,Off-Plan,Q4 2026,Volga
3000888.0,2.0,2.0,1285.0, UAE, Dubai, Mina Rashid,Apartment,Sale,Unfurnished,Off-Plan,Q4 2028,Porto View
15800888.0,5.0,5.0,10225.0, UAE, Dubai, The Oasis by Emaar,Villa,Sale,Unfurnished,Off-Plan,Q2 2028,Mirage The Oasis
2399000.0,2.0,3.0,1510.0, UAE, Dubai, Jumeirah Village Triangle (JVT),Apartment,Sale,Furnished,Off-Plan,Q4 2026,Volga
2100000.0,1.0,2.0,822.0, UAE, Dubai, Mina Rashid,Townhouse,Sale,Unfurnished,Off-Plan,Q4 2027,Bayline
1395000.0,2.0,3.0,1447.0, UAE, Dubai, Dubai Land Residence Complex,Apartment,Sale,Unfurnished,Off-Plan,Q4 2027,The Boulevard by Prestige One
18975000.0,6.0,10.0,7677.0, UAE, Dubai, Palm Jebel Ali,Villa,Sale,Unfurnished,Off-Plan,Q4 2027,Frond A
1496888.0,1.0,1.0,734.0, UAE, Dubai, Expo City,Apartment,Sale,Unfurnished,Off-Plan,Q1 2029,Terra Heights Building 4
1622000.0,2.0,3.0,1260.0, UAE, Dubai, Dubai Production City (IMPZ),Apartment,Sale,Unfurnished,Off-Plan,Q4 2027,Samana Lake Views 2
2772000.0,2.0,2.0,1017.0, UAE, Dubai, Al Wasl,Apartment,Sale,Unfurnished,Off-Plan,Q4 2029,Safa Gate
1800000.0,2.0,3.0,1372.0, UAE, Dubai, Al Jaddaf,Apartment,Sale,Unfurnished,Off-Plan,Q4 2029,Safa Gate
1750888.0,1.0,1.0,727.0, UAE, Dubai, Dubai Hills Estate,Apartment,Sale,Unfurnished,Off-Plan,Q4 2029,Parkwood
1091721.0,1.0,2.0,802.0, UAE, Dubai, Dubai Land Residence Complex,Apartment,Sale,Unfurnished,Off-Plan,Q3 2028,Peace Lagoons by Peace Homes
1090000.0,1.0,2.0,805.0, UAE, Dubai, Dubai Land Residence Complex,Apartment,Sale,Unfurnished,Off-Plan,Q3 2028,Peace Lagoons by Peace Homes
2399000.0,2.0,3.0,1250.0, UAE, Dubai, Dubailand,Apartment,Sale,Unfurnished,Off-Plan,Q3 2027,Ghaf Woods
858000.0,1.0,2.0,746.0, UAE, Dubai, Dubai Land Residence Complex,Apartment,Sale,Unfurnished,Off-Plan,Q4 2028,AG Ark Tower
849000.0,1.0,2.0,746.0, UAE, Dubai, Dubai Land Residence Complex,Apartment,Sale,Unfurnished,Off-Plan,Q4 2028,AG Ark Tower
15894000.0,3.0,4.0,3125.0, UAE, Dubai, Al Wasl,Apartment,Sale,Unfurnished,Off-Plan,Q4 2029,Safa Gate
825000.0,1.0,2.0,718.0, UAE, Dubai, Dubai Land Residence Complex,Apartment,Sale,Unfurnished,Off-Plan,Q4 2028,AG Ark Tower
1499000.0,1.0,2.0,850.0, UAE, Dubai, Dubailand,Apartment,Sale,Unfurnished,Off-Plan,Q3 2027,Ghaf Woods
1076598.0,1.0,1.0,746.0, UAE, Dubai, Dubai Sports City,Apartment,Sale,Furnished,Off-Plan,Q2 2027,Vega
1601423.0,2.0,2.0,1097.0, UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Furnished,Off-Plan,Q2 2027,Electra
1526730.0,1.0,1.0,885.0, UAE, Dubai, Al Furjan,Apartment,Sale,Unfurnished,Off-Plan,Q4 2027,Avenue Residence 7
1954122.0,4.0,4.0,2352.0, UAE, Dubai, DAMAC Hills 2 (Akoya by DAMAC),Townhouse,Sale,Unfurnished,Off-Plan,Q3 2027,Violet 4
2080495.0,2.0,2.0,1489.0, UAE, Dubai, Al Furjan,Apartment,Sale,Unfurnished,Off-Plan,Q4 2027,Avenue Residence 7
1416521.0,1.0,1.0,890.0, UAE, Dubai, Al Furjan,Apartment,Sale,Unfurnished,Off-Plan,Q4 2027,Avenue Residence 7
1954120.0,4.0,4.0,2352.0, UAE, Dubai, DAMAC Hills 2 (Akoya by DAMAC),Townhouse,Sale,Unfurnished,Off-Plan,Q3 2027,Violet 4
1918840.0,4.0,4.0,2352.0, UAE, Dubai, DAMAC Hills 2 (Akoya by DAMAC),Townhouse,Sale,Unfurnished,Off-Plan,Q3 2027,Violet 4
3735760.0,5.0,5.0,3324.0, UAE, Dubai, Dubailand,Townhouse,Sale,Unfurnished,Off-Plan,Q1 2028,DAMAC Sun City
3730862.0,5.0,5.0,3324.0, UAE, Dubai, Dubailand,Townhouse,Sale,Unfurnished,Off-Plan,Q1 2028,DAMAC Sun City
3730860.0,5.0,5.0,3324.0, UAE, Dubai, Dubailand,Townhouse,Sale,Unfurnished,Off-Plan,Q1 2028,DAMAC Sun City
4018000.0,1.0,1.0,1095.0, UAE, Dubai, Dubai Marina,Apartment,Sale,Furnished,Off-Plan,Q1 2028,Rove Home Dubai Marina
1590939.0,2.0,2.0,1098.0, UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Furnished,Off-Plan,Q2 2027,Electra
1270856.0,2.0,2.0,951.0, UAE, Dubai, Dubai Production City (IMPZ),Apartment,Sale,Unfurnished,Off-Plan,Q4 2025,Viera Residences
1116096.0,1.0,1.0,817.0, UAE, Dubai, Dubai Production City (IMPZ),Apartment,Sale,Unfurnished,Off-Plan,Q4 2025,Viera Residences
1060939.0,1.0,1.0,773.0, UAE, Dubai, Dubai Production City (IMPZ),Apartment,Sale,Unfurnished,Off-Plan,Q4 2025,Viera Residences
8233960.0,3.0,3.0,2105.0, UAE, Dubai, Dubai Harbour,Apartment,Sale,Unfurnished,Off-Plan,Q4 2025,DAMAC Bay 2 by Cavalli
8605380.0,3.0,3.0,2111.0, UAE, Dubai, Dubai Harbour,Apartment,Sale,Unfurnished,Off-Plan,Q4 2025,DAMAC Bay 2 by Cavalli
2200000.0,1.0,1.0,742.0, UAE, Dubai, Dubai Creek Harbour,Apartment,Sale,Unfurnished,Off-Plan,Q1 2029,Palace Residences Creek Blue
750000.0,1.0,1.0,552.0, UAE, Dubai, DAMAC Hills 2 (Akoya by DAMAC),Apartment,Sale,Unfurnished,Off-Plan,Q4 2026,ELO
1800000.0,1.0,1.0,644.0, UAE, Dubai, Dubai Creek Harbour,Apartment,Sale,Unfurnished,Ready,Q4 2026,Creek Palace
2252200.0,2.0,3.0,1280.0, UAE, Dubai, Al Satwa,Apartment,Sale,Furnished,Ready,Q4 2026,Creek Palace
750000.0,1.0,2.0,910.0, UAE, Dubai, Discovery Gardens,Apartment,Sale,Furnished,Ready,Q4 2026,Creek Palace
1279534.0,1.0,1.0,893.0, UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Furnished,Off-Plan,Q2 2027,Electra
1570000.0,2.0,1.0,549.0, UAE, Dubai, Business Bay,Apartment,Sale,Unfurnished,Ready,Q2 2027,Trillionaire Residences by Binghatti
3200000.0,3.0,4.0,1879.0, UAE, Dubai, Mudon,Townhouse,Sale,Unfurnished,Off-Plan,Q4 2025,Trillionaire Residences by Binghatti
